"","lo_x","lo_y","lo_z","x","y","z","Moll_x","Moll_y"
"181",333611.351844672,281411.924232708,203643.333749196,0.938249236719742,-0.293097752669519,-0.183799012986736,0.269724787339701,-0.204868188610749
"164",372714.576738375,295901.29345653,208454.214428759,0.463971990659741,-0.716747682455831,-0.520579246203142,0.813320846039576,-0.596400593444129
"168",377319.464295183,296894.917217117,208638.013164945,0.378117209532796,-0.733354383381624,-0.564994446194022,0.874846289332644,-0.651377195263647
"170",381122.477213809,297328.638113129,209396.116042675,0.277991372958687,-0.740482778399348,-0.611887286560627,0.943068422087667,-0.710815966290268
"172",383626.480126984,297175.22477463,209834.541733114,0.165833794637647,-0.731453589534535,-0.661418777260763,1.01477525504618,-0.775490113047206
"176",386373.295983338,296734.220538832,210992.744186671,0.0469908277198412,-0.696252672352501,-0.716256991834778,1.0818214820185,-0.849936593189758
"180",391018.627959266,296644.501518788,213538.79939826,-0.0983874284657285,-0.629583829510425,-0.770677698872161,1.17277950529481,-0.927675161585047
"178",337742.360119006,283444.716538764,203954.417203286,0.907380471513863,-0.358519748589504,-0.219372445367686,0.3336604767171,-0.244890956628566
"177",340226.45171243,285139.687863311,203569.55932252,0.877981196720219,-0.406272390020439,-0.253163511021656,0.382293509280471,-0.283096165048514
"174",343774.20100663,287372.293746735,202477.415783285,0.836258027986897,-0.467049538383916,-0.287292950353534,0.446534230676652,-0.321903902898896
"173",348235.849793702,289370.497978835,204197.074948013,0.792429096240129,-0.518376312680008,-0.321468701251507,0.504268069058433,-0.361022323571809
"171",353272.572168037,291391.002730665,205190.055359787,0.736855481991519,-0.572533951902357,-0.359511992259113,0.569811022763937,-0.404919872293449
"165",358380.069440601,292959.36051652,206710.991648105,0.686038066892494,-0.610303071839161,-0.396083237815101,0.620930032223207,-0.447523333148162
"167",362239.35682637,294365.945051696,208013.339963407,0.61829349038602,-0.655810628093865,-0.433157684712396,0.687941158637724,-0.49117911650861
"166",367417.940074454,295265.147228658,208594.886801007,0.545982546476153,-0.69118950985772,-0.473455510482304,0.7509266467976,-0.539244791159119
"182",326402.554315973,279052.631516961,203066.719192678,0.961992692213762,-0.227477987272252,-0.151075562000885,0.207569776999028,-0.16820015439979
"183",321691.108467842,276466.761248116,202905.960820813,0.978856177702644,-0.164079722789139,-0.122141016627541,0.148832748858185,-0.135873888735803
"184",317517.125466237,275170.277543797,201528.943490465,0.990843405572488,-0.0963453017729222,-0.0945882046546936,0.0870269039798311,-0.105158065739187
"185",313821.756879452,273456.264350641,200286.055846858,0.997686808946975,-0.0228273949819246,-0.0640307839366469,0.0205698506639292,-0.0711503465652029
"186",310407.24072679,271652.236534941,198993.958027999,0.997940298574856,0.0516319091197356,-0.0380697575639481,-0.0465186819000527,-0.0422911732306039
"194",307361.52681424,270244.810849972,198244.753382662,0.99008531565806,0.139826362728854,-0.0134035817712744,-0.126306244511651,-0.0148879111870247
"198",304229.943851603,267773.003443398,197662.284315638,0.974790138321257,0.223024235169326,0.00666158830617512,-0.202497118590069,0.00739919166422391
"203",299169.637400874,264499.138351002,196977.461355121,0.942097476545607,0.334192477107555,0.0277079939929863,-0.306831193847362,0.0307782733067564
"207",295112.451576619,261912.115932566,196269.132852583,0.900697730650525,0.434078263840746,0.0178790061803912,-0.404284897820837,0.0198592355858949
"157",332414.629209941,284352.761688495,201567.595770259,0.952504507295754,-0.214082366102525,-0.216573091830952,0.1961156512381,-0.241734590487985
"144",371413.599731028,298474.336897559,205767.543954097,0.508267113155117,-0.653182965140586,-0.561263356843395,0.728227247048129,-0.646712745181644
"147",376546.491703834,299397.534627577,206116.862956029,0.421726250985563,-0.678205516621496,-0.601817452766063,0.794385479469663,-0.697917441357068
"149",380615.341377886,299918.886548384,207033.209748083,0.324708751529061,-0.690058518972285,-0.646825685230739,0.860444341682518,-0.75620909508737
"153",383869.98107935,300500.318033005,207898.626079329,0.221390891515442,-0.697614164162824,-0.681410706632499,0.936802199819042,-0.802245600830397
"155",386328.02192596,300147.949190502,208470.269746746,0.100259753137111,-0.658519595485005,-0.745855163059927,0.99211198749205,-0.891663481438239
"159",389382.167454746,300373.493503689,209443.494364431,-0.0298831452545747,-0.585264690260699,-0.810291453715107,1.04524148378874,-0.987482351546474
"156",337863.169765467,286434.207071715,201460.990719595,0.92618417518892,-0.28171010028879,-0.250643757203125,0.26056552027134,-0.280240203936737
"154",339903.303417128,287969.186497616,201095.022936574,0.894809955001994,-0.341395195820382,-0.287688137920374,0.319510398088081,-0.322354695630398
"152",342744.036149628,290072.334958975,199297.837142122,0.860046695179354,-0.39825343450451,-0.318926141945802,0.377708260923394,-0.358102299625237
"150",347358.897061407,292111.682434558,201713.890178967,0.816296796957118,-0.455996414145709,-0.35457976474103,0.439999233836562,-0.399205768662077
"148",351578.642232832,293610.905994275,202547.337328066,0.767728980416417,-0.507436591060119,-0.391280358160301,0.499491188988282,-0.441903158871819
"145",357299.610971046,295437.771673999,203855.431031186,0.71732678034758,-0.54495561925206,-0.434126321756442,0.548331335018867,-0.492326607823217
"143",362093.418130787,296985.987233832,205009.997901263,0.655644407974755,-0.586852170183916,-0.475115712897249,0.607267315081638,-0.541240142975727
"146",366020.329186502,297619.249382572,205738.433820208,0.584362028396079,-0.626597076332226,-0.515652134389771,0.671068119773531,-0.590371551863044
"160",324228.123122036,282225.362466783,200730.743242218,0.970255395396756,-0.155034428272538,-0.185926850545295,0.141112891997409,-0.207257117659445
"161",319468.85153635,280618.54849581,199876.912154786,0.983860825717606,-0.0886798596402735,-0.155414793737442,0.0803226997320973,-0.17305529889525
"162",315425.439801421,279169.148326639,198968.085061611,0.991641896904036,-0.0191435020734303,-0.127592611984116,0.0172905418609512,-0.141958519475283
"163",312098.714921042,277507.990059885,197423.641763449,0.993757432298287,0.0636224368829817,-0.0916425189362807,-0.0574120288794479,-0.101877430231831
"169",309047.127817587,276160.492088658,196568.258442264,0.987180161546093,0.145040282130436,-0.0666231582060801,-0.131158155701344,-0.0740335517522346
"175",305465.134947485,272776.496923532,196836.733908623,0.971137115427724,0.235740621324799,-0.0363188999849482,-0.214314733068587,-0.0403456287201112
"179",302437.926968338,271844.005174469,195871.888842446,0.93466261281076,0.352166302615033,-0.0488333443071461,-0.324175918120792,-0.0542535186821606
"387",337835.600041442,255045.82626372,219104.9268093,0.654873199632254,-0.751432708470036,0.0805603937726209,0.767284710753262,0.089539958934424
"360",380142.127667991,272936.467912394,229295.722130146,-0.0661026968128451,-0.958245554685266,-0.278201168940743,1.43995643349021,-0.311542260866035
"358",384647.767057591,274067.303547057,229918.518881672,-0.196917127400407,-0.922186718548717,-0.332859281181584,1.54648426937523,-0.374124394686356
"354",389433.813634598,274007.982337141,230847.597458531,-0.369511507023302,-0.832909563292013,-0.411974399148875,1.69008859234439,-0.466174095023253
"386",341422.460237902,257490.203658732,220139.152861683,0.596533971478099,-0.800923999196824,0.0516523802271723,0.837168466475402,0.0573871229297034
"383",347062.402565602,258775.407018789,221735.580570834,0.540729548796839,-0.840800927243565,0.0257944917439389,0.899481813098854,0.0286524371514919
"381",349951.508138805,261849.057396758,221940.52541051,0.475276227348407,-0.879817747384754,-0.00576533644136369,0.968288725817055,-0.00640369649382032
"378",354861.631436854,264392.768550626,223174.96693142,0.403835183219091,-0.91356930589523,-0.0480444390175398,1.03874718717387,-0.0533766300943691
"377",360990.145274062,267738.620370101,224015.661123017,0.325346742090486,-0.941371042643952,-0.0892751784234822,1.11187819764338,-0.0992413029587426
"376",367645.367862061,268792.030969961,225404.320106376,0.242888966763199,-0.961189795651435,-0.130840080098794,1.18504258561694,-0.145584335898012
"369",373168.886927472,270231.756073235,227136.206921365,0.162171165049191,-0.972075251070468,-0.169617863100777,1.2540380631551,-0.188961857057272
"364",375811.636554163,271324.215362379,227832.266300005,0.0556883868253559,-0.973350706584441,-0.222457199398804,1.34157872158202,-0.248370579214013
"388",335426.360412601,252674.169608562,219184.475177439,0.70108774010431,-0.705751658063784,0.10193418374447,0.707807276058257,0.113341864626458
"391",330721.147760126,249553.051964367,216482.064454501,0.739452563273757,-0.661845116415492,0.123170404500567,0.654203358752036,0.137022610478693
"398",304303.789389587,229967.024809964,207235.446856934,0.926125784933442,0.000394290693510314,0.377214627256507,-0.00036554268713286,0.425489156108166
"394",302088.396506714,228488.130370886,205701.213594169,0.913655440270999,0.0897052382625351,0.396467787709758,-0.0835756810357519,0.447973624991664
"390",298479.708767539,226744.999025091,204562.431065589,0.89276350767477,0.214450693843261,0.396212341143464,-0.201329004561063,0.447674502121016
"384",293255.855506447,224727.767888255,203420.293522808,0.86166419178229,0.345955795376623,0.371280767405883,-0.328335745812819,0.418583658916082
"379",289003.212981936,222738.130550136,202673.174610921,0.804917853478108,0.484564566147342,0.34249734361982,-0.469424632085324,0.385237596618689
"392",326755.599916149,247134.850748015,215224.039612698,0.781289152035312,-0.605163803842207,0.152852973249374,0.589034060637095,0.170188644344192
"395",323488.896728612,244898.065462607,214404.031184433,0.818137011864015,-0.543077461629315,0.188993916538285,0.521709192412406,0.210701586687268
"396",320704.275717533,241677.756983579,213778.419878338,0.850154519386346,-0.476357789978711,0.224322422181933,0.452550129748155,0.250475314039449
"397",317832.344141425,238788.228763455,213122.553449194,0.879331776628799,-0.408441235124412,0.244849717297946,0.384091748791433,0.273677560708695
"401",313781.539694932,236209.74041097,212183.625572377,0.900232140752385,-0.333792252958296,0.2795797285595,0.3117415986358,0.313112219751986
"403",309553.099636279,233643.113906136,210966.219558594,0.915240657279798,-0.259106483050115,0.308542330488773,0.240824755353645,0.346193666283708
"402",307186.045655685,231589.585043506,209852.844634132,0.926865647774774,-0.174362273271224,0.332442278651107,0.161462490366131,0.373644134640888
"400",305491.156501615,231274.096708347,208492.559579785,0.929757971704396,-0.0846564126128801,0.35830630172472,0.0783517727947765,0.403522390585633
"415",338649.864036868,251799.273428158,220805.065134519,0.599025739762588,-0.793499508911411,0.107362435047059,0.829062562279973,0.11939165572423
"385",381963.872992309,269915.609006321,231573.295973155,-0.150840253085731,-0.955009269434416,-0.255351744351542,1.52321074760682,-0.285577346975053
"382",385570.908190941,270139.92898635,232123.941567368,-0.31203718887153,-0.894220833722937,-0.320939080351722,1.65980611431592,-0.360413940680017
"380",390960.262725537,270635.041765276,233034.323675556,-0.45656462485507,-0.805910491569648,-0.376904527578163,1.79139505499302,-0.425128004893812
"413",341384.357217538,253985.790114091,221795.068800941,0.541973131300207,-0.83630775759598,0.0827916634295502,0.894625848347304,0.0920233987097919
"410",347308.500315688,256071.138996696,222649.979028795,0.478512964917366,-0.87649832475415,0.0526880357307042,0.963482323672198,0.0585384144030597
"408",350934.244389915,258627.239010084,223498.671829908,0.409594210156432,-0.912116417204287,0.0166200021884588,1.03412783146653,0.0184607053326188
"407",355547.150759448,261342.496067113,224826.415553252,0.332490221050504,-0.942830807040726,-0.0228105721261305,1.10879722169116,-0.0253375310302852
"404",362852.32453893,265864.340805566,224752.79476603,0.250741043240693,-0.966062844787363,-0.0620605281633622,1.18417156399583,-0.0689592524601421
