,Presynaptic neuron type,Presynaptic neuron,Postsynaptic neuron,Predicted synapse type,Variance in distances from centroid
393,LVIN,720575940624951847,720575940621936362,en_passant,4894.934927618152
394,LVIN,720575940624951847,720575940626465286,en_passant,9409.578879575938
395,LVIN,720575940624951847,720575940626653273,claw,1097.5043362100066
396,LVIN,720575940624951847,720575940627251216,en_passant,2803.465531777072
397,LVIN,720575940624951847,720575940628080902,en_passant,4752.493978795821
398,LVIN,720575940624951847,720575940628134266,claw,252.45521278766594
399,LVIN,720575940624951847,720575940628405882,en_passant,3133.8957279391175
400,LVIN,720575940624951847,720575940633707980,en_passant,2052.930895137489
401,LVIN,720575940624951847,720575940630391033,en_passant,1591.2005297685814
402,LVIN,720575940624951847,720575940631492419,en_passant,2455.164782414754
403,LVIN,720575940624951847,720575940635031403,en_passant,2084.641351235309
404,LVIN,720575940624951847,720575940643823816,claw,956.7189225984472
405,LVIN,720575940624951847,720575940644677411,en_passant,3715.514421822415
406,LVIN,720575940624951847,720575940645209966,en_passant,5240.98685575307
407,LVIN,720575940624951847,720575940645949316,claw,196.14361277194268
408,LVIN,720575940624951847,720575940646289955,en_passant,1781.719312790255
409,LVIN,720575940619522974,720575940617150878,claw,112.97724030212098
410,LVIN,720575940619522974,720575940625981028,claw,383.073392227127
411,LVIN,720575940622350550,720575940602829536,en_passant,2953.288583160002
412,LVIN,720575940622350550,720575940614281214,claw,199.39532974589602
413,LVIN,720575940622350550,720575940621174742,claw,1112.297120200463
414,LVIN,720575940622350550,720575940621796390,en_passant,5345.192057094663
415,LVIN,720575940622350550,720575940622017148,claw,147.23652448898997
416,LVIN,720575940622350550,720575940623070868,en_passant,3863.137056572511
417,LVIN,720575940622350550,720575940626460420,claw,115.00789752808194
418,LVIN,720575940622350550,720575940627800446,claw,121.58415939483515
419,LVIN,720575940622350550,720575940633386603,claw,790.2871348727281
420,LVIN,720575940622350550,720575940635370096,en_passant,4492.9067041751005
421,LVIN,720575940622350550,720575940636363621,claw,135.96038882995714
422,LVIN,720575940603976672,720575940606683915,claw,265.7222167204073
423,LVIN,720575940603976672,720575940615332674,en_passant,2121.978906614586
424,LVIN,720575940603976672,720575940619825237,en_passant,3113.5080675074623
425,LVIN,720575940603976672,720575940616460322,claw,175.3978355160172
426,LVIN,720575940603976672,720575940617931547,claw,252.4100795406496
427,LVIN,720575940603976672,720575940619475376,claw,40.068510569046296
